rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
134,"spotify:track:7e4zDInS6tA2jwzphvs2Ay","HUGEL, SOLTO (FR)","Jamaican (Bam Bam)","MoBlack Records",134,154,6,"196449"
135,"spotify:track:3CBEVPwR3kUXDoTx1lqFUQ","ARIA VEGA, Ryan Castro","CHÉVERE (premium_remix)","WEA Latina",105,177,6,"196328"
136,"spotify:track:69Ej1xrGjOcHvIMtMKxK0G","Don Omar","Dile","UMLE - Machete",37,128,209,"196041"
137,"spotify:track:35LdDKNMwvKftENaj1WIwF","El Cuarteto De Nos","Enamorado tuyo","WM Argentina",112,141,32,"195990"
138,"spotify:track:5u5MvmVtitax9R1Mxh3reC","Ozuna","Dile Que Tu Me Quieres","VP Records Corp/Dimelo Vi",13,124,95,"194483"
139,"spotify:track:41wtwzCZkXwpnakmwJ239F","Bad Bunny","Si Veo a Tu Mamá","Rimas Entertainment LLC",2,133,186,"194067"
140,"spotify:track:51Awtxah1bdEZCnUP3i70E","Grupo Frontera, Bad Bunny","un x100to","BorderTown Records",1,143,146,"192635"
141,"spotify:track:5jJTqI5yteOyLWoDTjiHCO","Luis Enrique","Yo No Sé Mañana","Luis Enrique Oficial",48,158,117,"192526"
142,"spotify:track:17I27VXKtqXJHL6ReaG0eS","Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow","Hola - Remix","Rich Music",2,162,216,"192261"
143,"spotify:track:2WD9ggmpZE7Wodh3qVVCgg","Soda Stereo","De Música Ligera - Remasterizado 2007","Columbia",92,155,124,"191933"
144,"spotify:track:3Y1xjjepdqMP141ipYCAqA","Rawayana, Manuel Turizo","Inglés En Miami","Rimas Entertainment LLC.",34,127,11,"191896"
145,"spotify:track:6VfL3MEuYeJbDlD8m011HR","Beéle","quédate","5020 Records",22,120,45,"190687"
146,"spotify:track:3tt9i3Hhzq84dPS8H7iSiJ","Manuel Turizo","La Bachata","Sony Music Latin/La Industria",1,105,200,"190451"
