rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
133,"spotify:track:7evftBiobEwWOwfxiTnnKc","Jorge & Mateus","Calma","Som Livre",133,180,5,"1408208"
134,"spotify:track:3qhlB30KknSejmIvZZLjOD","Djo","End of Beginning","Djo",42,115,26,"1406336"
135,"spotify:track:5EMdMjFDucmNsD80Y0mjEI","Marina Sena","Numa Ilha","Sony Music Entertainment",74,178,19,"1404730"
136,"spotify:track:69sdOLKjgnwdA2smmct2a9","Gabriel Guedes de Almeida","Santo Pra Sempre - Ao Vivo","Onimusic",93,136,39,"1404399"
137,"spotify:track:02kFVcD4kyo5FH8bU8cipP","Mc Negão Original, DJ Guh Mix, Marquinho no Beat","Ai Se Seu Closet Falasse (Semi Nua)","WM Brazil",118,142,5,"1399059"
138,"spotify:track:1qyiBNYS01TjMkmoeTLJXN","Matuê","A Morte do Autotune","30PRAUM",33,126,103,"1390300"
139,"spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ","Alex Warren","Ordinary","Atlantic Records",30,130,51,"1381556"
140,"spotify:track:7pBPXkaVQaP3Y3Wwfkpvbn","Hugo & Guilherme, Wesley Safadão","Mentirosa - Ao Vivo","Som Livre",6,143,32,"1378689"
141,"spotify:track:0Ao4OLBAduB4y8H80EKqTO","Natanzinho Lima","Sonho de Amor - Ao Vivo","Sua Música Digital",52,135,30,"1370091"
142,"spotify:track:4KNp4EZh6K7qL9lVt3OL3G","DJ Japa NK, Zago, Mc Lele JP","Hoje Eu Contei 100K No 7","2025 Kondzilla Nova Era",89,171,17,"1368821"
143,"spotify:track:3sK8wGT43QFpWrvNQsrQya","Bad Bunny","DtMF","Rimas Entertainment LLC.",14,118,16,"1368769"
144,"spotify:track:79Wou8NwYEFzTyDQudjENF","Diego & Victor Hugo","Desbloqueado - Ao Vivo","Sony Music Entertainment",17,139,87,"1364948"
145,"spotify:track:4SHKz1SM7aikyK9WLAuN1J","Grupo Menos É Mais","Tarde Demais / Mágica / Oh! Chuva - Ao Vivo","Som Livre",52,166,34,"1359837"
146,"spotify:track:2s4nhrlWTnmzSnGFH5pyAM","Anitta, Felipe Amorim, HITMAKER","GOSTOSIN","Universal Music Ltda.",17,122,17,"1359266"
147,"spotify:track:0zxWyvrKyz031tFfBnkYLr","Henrique & Juliano","Como É Que A Gente Fica (Ao Vivo)","Vida Nova Produções, sob licença exclusiva para Virgin Music Group",23,177,176,"1353806"
148,"spotify:track:280QfKhmWGn3LbyB39aA7u","Léo Foguete","Cópia Proibida","Sua Música Digital",5,146,74,"1353781"
149,"spotify:track:1JSTJqkT5qHq8MDJnJbRE1","The Police","Every Breath You Take","Polydor Records",86,158,91,"1353774"
150,"spotify:track:1vFgUgPdvxvEBuYnJS03S4","Prod.Nifour, CACAU CHUU, Storys Funk, MC Nito","Passo com a Bunda e Sarro","Storys Funk",107,127,6,"1347830"
