Pais;Fecha;Rank;Artista;Canci�n;Peak rank;Semanas en chart;Streams;Fuente
Bolivia;02-04-2026;50;Mon Laferte;Tu Falta De Querer;30;292;68247;Spotify Charts
Ecuador;02-04-2026;1;BTS;SWIM;1;2;488519;Spotify Charts
Ecuador;02-04-2026;2;Omar Courtz;KOKO;2;6;327079;Spotify Charts
Ecuador;02-04-2026;3;Ryan Castro, Kapo, Gangsta;LA VILLA;1;15;290616;Spotify Charts
Ecuador;02-04-2026;4;Bad Bunny;BAILE INoLVIDABLE;1;65;284640;Spotify Charts
Ecuador;02-04-2026;5;Be�le;no tiene sentido;1;46;281934;Spotify Charts
Ecuador;02-04-2026;6;W Sound, Be�le, Ovy On The Drums;La Plena - W Sound 05;1;58;263908;Spotify Charts
Ecuador;02-04-2026;7;El Bogueto, Yung Beef;Cuando No Era Cantante;1;27;260222;Spotify Charts
Ecuador;02-04-2026;8;Milo j;Ni�o;8;27;259006;Spotify Charts
Ecuador;02-04-2026;9;Fuerza Regida, Grupo Frontera;COQUETA;6;52;249728;Spotify Charts
Ecuador;02-04-2026;10;Mr Plata, El Americano 4KT;Las Mu�equitas;10;9;248619;Spotify Charts
Ecuador;02-04-2026;11;Rels B;TU VAS SIN (fav);1;40;240714;Spotify Charts
Ecuador;02-04-2026;12;Danny Ocean;Me Reh�so;2;484;233036;Spotify Charts
Ecuador;02-04-2026;13;Romeo Santos, Prince Royce;Dardos;4;18;232915;Spotify Charts
Ecuador;02-04-2026;14;Bad Bunny;EoO;2;65;230489;Spotify Charts
Ecuador;02-04-2026;15;Plan B;Es un Secreto;4;257;222343;Spotify Charts
Ecuador;02-04-2026;16;J Balvin, Bad Bunny;LA CANCI�N;2;353;215596;Spotify Charts
Ecuador;02-04-2026;17;BTS;Body to Body;2;2;212479;Spotify Charts
Ecuador;02-04-2026;18;Bad Bunny;DtMF;1;65;212021;Spotify Charts
Ecuador;02-04-2026;19;Milo j, Trueno;Gil;19;27;211098;Spotify Charts
Ecuador;02-04-2026;20;Be�le, Ovy On The Drums;mi refe;3;68;205015;Spotify Charts
Ecuador;02-04-2026;21;El Bogueto, Anuel AA, Fuerza Regida, Yung Beef;Cuando No Era Cantante - Remix;10;15;198609;Spotify Charts
Ecuador;02-04-2026;22;Rauw Alejandro, Bad Bunny;Qu� Pasar�a...;2;72;195087;Spotify Charts
Ecuador;02-04-2026;23;Omar Courtz;POR SI MA�ANA NO ESTOY;15;6;194305;Spotify Charts
Ecuador;02-04-2026;24;BTS;Hooligan;8;2;191014;Spotify Charts
Ecuador;02-04-2026;25;Bad Bunny;VOY A LLeVARTE PA PR;3;65;190573;Spotify Charts
Ecuador;02-04-2026;26;Feid, ATL Jacob;LUNA;1;122;190455;Spotify Charts
Ecuador;02-04-2026;27;Bad Bunny, Omar Courtz, Dei V;VeLD�;6;65;184655;Spotify Charts
Ecuador;02-04-2026;28;Mon Laferte, Juanes;Am�rrame;24;44;184491;Spotify Charts
Ecuador;02-04-2026;29;Danny Ocean;Coraz�n;11;35;184080;Spotify Charts
Ecuador;02-04-2026;30;BTS;Like Animals;13;2;182989;Spotify Charts
Ecuador;02-04-2026;31;Maluma;Borro Cassette;19;200;182488;Spotify Charts
Ecuador;02-04-2026;32;BTS;NORMAL;16;2;179815;Spotify Charts
Ecuador;02-04-2026;33;BTS;FYA;10;2;178876;Spotify Charts
Ecuador;02-04-2026;34;BTS;2.0;17;2;177714;Spotify Charts
Ecuador;02-04-2026;35;Bad Bunny;NUEVAYoL;3;65;177380;Spotify Charts
Ecuador;02-04-2026;36;Bad Bunny;KLOuFRENS;10;65;177271;Spotify Charts
Ecuador;02-04-2026;37;Bad Bunny, Ozuna, Farruko, Arc�ngel, �engo Flow, DJ Luian, Mambo Kingz;Diles;15;287;174454;Spotify Charts
Ecuador;02-04-2026;38;"H�ctor ""El Father"", Wisin & Yandel";El Tel�fono;10;29;173575;Spotify Charts
Ecuador;02-04-2026;39;Milo j, Taiu;Rara Vez;7;159;172721;Spotify Charts
Ecuador;02-04-2026;40;Arc�ngel;Pa' Que La Pases Bien;22;114;172580;Spotify Charts
Ecuador;02-04-2026;41;BTS;Aliens;14;2;171969;Spotify Charts
