rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
168,"spotify:track:5sMHuOIvtsSuFZafTcF19Q","Pipe Bueno, Jessi Uribe, Yeison Jimenez, Carín León, Alzate, Darío Gómez, Luis Alberto Posada, El Charrito Negro, Jhonny Rivera, Jhon Alex Castaño, Juan Pablo Navarrete","Guaro (Remix)","Pipe Bueno",15,145,90,"332456"
169,"spotify:track:6eLQXa6uk2EW8drsiKbABZ","Fuerza Regida","TU SANCHO","Rancho Humilde/Street Mob Records/Sony Music Latin",37,173,38,"331587"
170,"spotify:track:2HbmLkHkkI15eES8kpWRuI","Los Hijos De Puerto Rico","Separados","CM ANGEL (A91)",59,161,104,"331254"
171,"spotify:track:0WaiS952DEP6HoR3Yal7aT","Feid","Boleritoxx","Universal Music Latino/ Grabaciones Los Poderosos",56,148,3,"329962"
172,"spotify:track:2Bhmj4XK33InfhqKPxcJ1v","Aventura","Dile al Amor","Premium Latin Music",64,186,85,"328950"
173,"spotify:track:380HmhwTE2NJgawn1NwkXi","J Balvin","Rojo","UMLE - Latino",1,176,87,"328042"
174,"spotify:track:0YZOQUJTS3saBjtLczB0W5","Kris R.","GAMINA","WEA Latina",50,181,4,"327418"
175,"spotify:track:5u4XWSNpF4wE6W6i78Uf1B","Rayo & Toby","Movimiento de Caderas","SUENA Music Management",22,153,53,"326796"
176,"spotify:track:6IV5Y1eWaQZ1jV5apkUMS4","Grupo Firme, Gerardo Coronel","Qué Onda Perdida","Que Onda Perdida",76,182,43,"326012"
177,"spotify:track:7hynhxDoDpgMIV12JuVtNa","J Balvin, Bad Bunny, Marciano Cantero","UN PESO","Universal Music Latino / Rimas",18,193,326,"325493"
178,"spotify:track:5PB1ITleNasy7UMYEaBWkL","Yeison Jimenez","Qué Día Es Hoy","YJ COMPANY",23,142,13,"324991"
179,"spotify:track:6UtWwuheJr5LLDeVypPNx7","Fuerza Regida","EXCESOS","Rancho Humilde/Street Mob Records",179,-1,3,"324671"
180,"spotify:track:0fLOPPoyIaPTe8dm2Mrft3","Anuel AA","Tú No Lo Amas","2018 Real Hasta La Muerte, Inc.",157,-1,2,"324249"
181,"spotify:track:5mp6OBKCAjN4UYRvhOuUze","Oscar Maydon, Fuerza Regida","Tu Boda","Rancho Humilde/Sony Music Latin",11,-1,73,"323705"
182,"spotify:track:2T6BBNQW4t81x2ddqWrGzs","Yeison Jimenez","Se Acabó","Yeison Jimenez",22,149,13,"322478"
183,"spotify:track:2beS6dD5rovBxSA1zYoSHR","JHAYCO, J Balvin, Bad Bunny","No Me Conoce - Remix","N&E Entertainment LLC",3,195,319,"321611"
184,"spotify:track:6829KtrgNt2ZwrsE19nTEd","Yeison Jimenez","Ni Tengo Ni Necesito","Vibras Lab - Fonovisa",18,121,13,"321506"
185,"spotify:track:2mLTxNa0bwZX8eNBsuODLX","Camilo, Carín León","Una Vida Pasada","Sony Music Latin/Hecho a Mano (HAMM)",19,185,78,"317582"
186,"spotify:track:7zwgHkTKv86nMOREN5k1hx","Clarent","BIENVENIDA","WEA Latina",141,-1,8,"316781"
187,"spotify:track:3fJHbMUnzceimOnNjp63fF","Carín León","Primera Cita","Socios Music, LLC",7,194,140,"316251"
188,"spotify:track:1JXcB149QtbcIpDUA6YZOB","Grupo Niche","Algo Que Se Quede","Grupo Niche",30,196,239,"315498"
189,"spotify:track:4MjDJD8cW7iVeWInc2Bdyj","Bad Bunny","MONACO","Rimas Entertainment LLC",2,-1,47,"315182"
190,"spotify:track:5HCGrYR7g9u2X9Ju83yQLm","Adolescent's Orquesta","Virgen","Korta Records",69,198,157,"315055"
191,"spotify:track:4MSfAq3HZsIbTri2IEsCH1","Feid","SE LO JURO MOR","Universal Music Latino/ Grabaciones Los Poderosos",17,160,17,"313301"
192,"spotify:track:4wJIK6V5jFaXbOUbuJ7iPd","GeezyDee, Miky Woodz, Los Money Makers","BABIDI","24K Records",174,174,2,"313039"
193,"spotify:track:0EFxJw34fK8DWlTxx9qYeW","Blessd","Instagram","WEA Latina",2,-1,193,"311394"
194,"spotify:track:5YJ4BVvTFmVCxUyhKejHfR","Tego Calderón","Pa' Que Retozen","Jiggiri Records, Inc.",18,180,276,"311241"
195,"spotify:track:6I86RF3odBlcuZA9Vfjzeq","Romeo Santos","Eres Mía","Sony Music Latin",65,190,59,"310763"
196,"spotify:track:5jJTqI5yteOyLWoDTjiHCO","Luis Enrique","Yo No Sé Mañana","Luis Enrique Oficial",77,-1,48,"310470"
197,"spotify:track:1nDvFYTsaQwxt5CTk7LJ5E","Yeison Jimenez, Pasabordo","Hasta La Madre","Yeison Jimenez",20,192,48,"310467"
198,"spotify:track:0ftcn4ddKESqQMA784Ebc0","Yeison Jimenez","Aventurero","Sony Music Entertainment",13,162,88,"310176"
199,"spotify:track:1YYfyJ2yCvGFCxwjsIqEK9","Rauw Alejandro, Romeo Santos","Khé?","Sony Music Latin/Duars Entertainment",7,163,73,"309871"
200,"spotify:track:5iwgEFKEktjBBZV3C9TTZj","Willie Colón","Idilio","Sony Tropical",22,191,18,"309657"
