rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
49,"spotify:track:73scB4Q4fcOmnsBVZPmk32","KAROL G","Si Antes Te Hubiera Conocido","Bichota/Interscope Records",1,49,85,"455003"
50,"spotify:track:7bugn9Xif6VHCLco3PIZc5","Ovy On The Drums, Lucky Brown, Darell","NUBES","WEA Latina",10,45,47,"453360"
51,"spotify:track:1pLCpA1RN8avJxSD3ZCwhj","Arcángel","Pa' Que La Pases Bien","Cinq Recordings",47,50,91,"451632"
52,"spotify:track:4mvD8af1IQary3hoe0KgOU","Lucky Brown, Jere Klein, Nes","Bella","Lucky Brown",1,40,39,"448867"
53,"spotify:track:3ZI02Zy37d6aPjezlg57SB","Grupo Disparo","Corazón de Piedra","Grupo Disparo",23,47,69,"447248"
54,"spotify:track:3Ua0m0YmEjrMi9XErKcNiR","Jimin","Like Crazy","BIGHIT MUSIC",26,42,67,"430291"
55,"spotify:track:5WEF0icHWmAZBBMglBd599","Bad Bunny, Chuwi","WELTiTA","Rimas Entertainment LLC.",7,76,41,"419145"
56,"spotify:track:7sChwC2NZjGc2Kdni3hlDg","Yan Block, Panda Black","Talento","Sonar LLC.",56,58,11,"411490"
57,"spotify:track:3KZCP2StVGdWkOKyRZNWA4","Plan B","Es un Secreto","Pina Records",22,46,201,"405332"
58,"spotify:track:6r46lnXFbE9fr2d3KNaGbe","Romeo Santos","Imitadora","Sony Music Latin",39,59,63,"402870"
59,"spotify:track:1zcpINZGUYXn2dzO1QSlUo","Ian Cordova","Te Amo y Me Amas","Lucky Music Group",59,64,6,"396603"
60,"spotify:track:0VKkyBKCXyR99navhVRqcP","Zion & Lennox","La player (Bandolera)","WEA Latina",1,53,140,"388496"
61,"spotify:track:1YYfyJ2yCvGFCxwjsIqEK9","Rauw Alejandro, Romeo Santos","Khé?","Sony Music Latin/Duars Entertainment",9,62,64,"383105"
62,"spotify:track:7xjFEvchFCiAmuseCBModI","Pablo Chill-E, Ñengo Flow, Jere Klein","Bastardo (feat. Ñengo Flow & Jere Klein)","G STARR ENT",3,74,92,"381373"
63,"spotify:track:5hTAltMXPzPf2tLKZiBLKM","Cris MJ, Reelian","Pensando Brigido","SONAR LLC.",11,56,6,"380959"
64,"spotify:track:5a0MlBRdj2qj2TPHjDUB27","SINAKA, SAIKO","SUBE EL BAJO","2025 Sinaka under exclusive license to BZR Music LLC",64,95,11,"379952"
65,"spotify:track:1JSTJqkT5qHq8MDJnJbRE1","The Police","Every Breath You Take","Polydor Records",44,63,318,"379682"
66,"spotify:track:7kfgRQbmicsoQyKJOl02xY","Lyon la f","DESEO","PEGAO COMPANY",13,57,24,"376957"
67,"spotify:track:0Fb8RH9cZJtUsbSE6HM01G","Martinwhite, Loyaltty, NEMJ","MAL PORTA","Sony Music Entertainment Chile S.A",46,67,22,"376100"
68,"spotify:track:6Sqm0JcOT9tw6Az1dDZ2WC","Santaferia, Grupo Zúmbale Primo","Que Te Vaya Bien","Huracán Records",14,55,160,"374153"
69,"spotify:track:5AchK5XMO4AwN99yYcDPQc","Jairo Vera, Juhn","Troka","WM Chile",69,-1,1,"373347"
70,"spotify:track:0fMjldiEpgjbWQ4bBQwVzH","Kapo","UWAIE","Sony Music Latin/La Industria",5,71,69,"367211"
71,"spotify:track:2uPMsTEKx79gJ8rB3AcT0v","Bizarrap, Daddy Yankee","Daddy Yankee: Bzrp Music Sessions, Vol. 0/66","DALE PLAY Records",3,52,14,"363253"
72,"spotify:track:1wymfAgWxIHWuLI8gJdNO9","Jere Klein, Mateo on the Beatz","DEMONIAKA","2025 JERE KLEIN",3,65,19,"363191"
73,"spotify:track:53iuhJlwXhSER5J2IYYv1W","Taylor Swift","The Fate of Ophelia","Taylor Swift",16,69,18,"357738"
74,"spotify:track:2SkB7jADnfiWH8qAE9H8cO","Xavi, Manuel Turizo","En Privado","Interscope Records",69,101,44,"354922"
75,"spotify:track:4ZhesgbRwUahpXs1xyBJbO","Loyaltty, Martinwhite, Santiago Berrio","GUARACHEETAH","Virgin Music Chile",65,96,10,"350858"
76,"spotify:track:2dd3G3ZqEcG2cNS1tp3oEk","Alleh, Yorghaki","capaz (merengueton)","La Ciudad",5,70,60,"350078"
77,"spotify:track:1LiN0Z98FkR1t0m8KmLcAH","Anuel AA, Haze","Amanece","House of Haze",2,60,247,"348686"
78,"spotify:track:6OaGIYcVzx5c7aEKkuYS1M","Tony Dize, Yandel","Permítame","Pina Records",49,73,135,"347771"
79,"spotify:track:1qUwfQjdSq3Jta580WvsI3","Cris MJ, Panda Black","Botellita De Champagne","SONAR LLC.",10,68,6,"345139"
80,"spotify:track:6kPCcIAGoTeRrh8qrmKa90","Tiago PZK, Ke Personajes","Piel","WEA Latina",8,78,105,"344684"
81,"spotify:track:6VfL3MEuYeJbDlD8m011HR","Beéle","quédate","5020 Records",56,81,37,"344678"
82,"spotify:track:6ifUES3keWjwXgae8pXI3o","Danny Ocean","Me Rehúso","Atlantic Records",1,77,360,"344360"
83,"spotify:track:1tf8S57TjVd6wSsyu9shAK","Alanys Lagos, Grupo Disparo","Usted Se Parece","MOJO MUSICA",79,83,26,"342807"
84,"spotify:track:1CPZ5BxNNd0n0nF4Orb9JS","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","Golden","K-Pop Demon Hunters",22,72,32,"337481"
85,"spotify:track:5q2JbCNi4FcnglgPfxcV65","Anuel AA, Daddy Yankee, Zion & Lennox, Farruko, Wisin","Sola (Remix)","Spiff TV, LLC / Real Hasta La Muerte, Inc.",5,66,242,"333469"
86,"spotify:track:0Lahr7sUDdtYnX3n3KobR6","Katteyes, Kidd Voodoo, Swift 047","PONTE LOKITA","Jak Entertainment LLC",1,118,51,"332717"
87,"spotify:track:1k0ryEzj8cit9V5K9nMRpB","Benja Valencia, SINAKA","Sentimiento Mágico","WM Chile",72,109,12,"327297"
88,"spotify:track:2dK99lWPkBVwNen6gK1AtI","Chayanne","Bailando Bachata","Sony Music Latin",57,99,86,"323291"
