rank;uri;artist_names;track_name;source;peak_rank;previous_rank;weeks_on_chart;streams
121;spotify:track:0P3K3oluS2pxWGp9TRtjTt;Jombriel, Ryan Castro, Alex Krack;Parte & Choke (with Ryan Castro) - Remix;WEA Latina;3;90;45;392102
122;spotify:track:59D4DOkspUbWyMmbAPQkxZ;Bad Bunny;VOY A LLeVARTE PA PR;Rimas Entertainment LLC.;4;153;48;391907
123;spotify:track:3QwBODjSEzelZyVjxPOHdq;Zion & Lennox, J Balvin;Otra Vez (feat. J Balvin);WEA Latina;1;161;287;389795
124;spotify:track:74LShhmHGvU2YGDgWUWxtH;Topboy TGR, AMMUNATION;SALSEROS;Topboy TGR, Slowrecords;72;75;4;388099
125;spotify:track:7iQXYTyuG13aoeHxGG28Nh;Bad Bunny, Feid;PERRO NEGRO;Rimas Entertainment LLC;1;137;112;387273
126;spotify:track:2OMtHS2URalrraV9BeWwQQ;Pastor Lopez;Golpe Con Golpe;Discos Fuentes Edimúsica S.A.S.;78;-1;12;386721
127;spotify:track:53iuhJlwXhSER5J2IYYv1W;Taylor Swift;The Fate of Ophelia;Taylor Swift;42;94;9;386263
128;spotify:track:69Ej1xrGjOcHvIMtMKxK0G;Don Omar;Dile;UMLE - Machete;22;112;265;385546
129;spotify:track:2Kx9AfJPaJib9DwAdDYdB9;Ryan Castro, Blaiz Fayah, Tribal Kush;BOMBASTIK<3;AWOO Corp./Sony Music Latin;20;96;27;385268
130;spotify:track:6ifUES3keWjwXgae8pXI3o;Danny Ocean;Me Rehúso;Atlantic Records;1;85;467;384791
131;spotify:track:4f49sFQko7jHLEFd3tCf5p;Don Omar;Ojitos Chiquitos;UMLE - Machete;38;139;234;384226
132;spotify:track:505v13epFXodT9fVAJ6h8k;KAROL G;AMARGURA;BICHOTA RECORDS / INTERSCOPE RECORDS / UNIVERSAL MUSIC LATINO;2;125;145;381559
133;spotify:track:4bw8mcDUSRWfQo63ZTYRnU;Maluma, Carín León;Según Quién;Sony Music Latin;3;152;116;380228
134;spotify:track:5hWpXZOs7vpz0JD3CIylsb;ROA;FANTASÍA;Universal Music Latino;77;146;31;378041
135;spotify:track:4YM3IYESNKXWYHbPXvMMVD;Kapo;NO CRY;Sony Music Latin/La Industria;127;127;2;377183
136;spotify:track:2SaBDesRq264c3bLHT3xJB;Los 50 De Joselito;Dame Tu Mujer José;Discos Fuentes Edimúsica S.A.S.;83;-1;7;373281
137;spotify:track:2mdrVnxEnPR6iFijakkxQS;Young Cister, Kreamly;QLOO*;Sony Music Entertainment Chile S.A;56;84;16;373003
138;spotify:track:5PycBIeabfvX3n9ILG7Vrv;Romeo Santos;Propuesta Indecente;Sony Music Latin;69;-1;49;372240
139;spotify:track:0BenZn1xELuxhb7Pjwyjxv;Don Omar, Plan B;Hooka;UMLE - Machete;84;163;193;372002
140;spotify:track:0sOrHE0vkEhrmWZnhqjP36;Blessd, Hades66, Blackinny, Young Fatty;MAS QUE AMIGOS;WEA Latina;49;93;27;369310
141;spotify:track:7LABrQFfRYcZUqUwng0Heb;Yandel;Encantadora;Sony Music Latin;39;173;78;368377
142;spotify:track:4aDbrgm1ZaebS1Bb2dOXac;Milo j;Niño;Sony Music Latin;88;133;10;368276
143;spotify:track:34vXRJ2bCSFiZKQzVUYVOb;Grupo Frontera, Grupo Firme;EL AMOR DE SU VIDA;BorderTown Records;28;159;79;368265
144;spotify:track:0a6ogDrZBvYgDjILgsQVaJ;Arcángel;Hace Mucho Tiempo;Pina Records;59;119;109;368073
145;spotify:track:4eDjNcAyIuJFhQ31Fvvoc1;J Alvarez, Ñejo & Dalmata;Sexo, Sudor y Calor;On Top of the World Music;83;101;216;367674
146;spotify:track:5YJ4BVvTFmVCxUyhKejHfR;Tego Calderón;Pa' Que Retozen;Jiggiri Records, Inc.;18;143;261;366621
147;spotify:track:39L3LdlHS3gqB62HPWaJRg;Bad Bunny;NO ME QUIERO CASAR;Rimas Entertainment LLC;24;175;66;365741
148;spotify:track:5jJTqI5yteOyLWoDTjiHCO;Luis Enrique;Yo No Sé Mañana;Luis Enrique Oficial;77;-1;36;363514
149;spotify:track:6v5qt5KPQHJt5ckWuhDGtM;Victor Valverde, JR Torres;El Mayor De Los Ranas;Vim Music;47;124;39;362061
150;spotify:track:0uLwWjN1KFO678WNJcZDkw;Romeo Santos;Llévame Contigo;Sony Music Latin;59;-1;38;360238
151;spotify:track:4MUrUT38U98olfnyzMBCzm;Bad Bunny;KLOuFRENS;Rimas Entertainment LLC.;15;-1;46;358452
152;spotify:track:27ze5t5tIDPlVits0KRbxT;Aventura;El Perdedor;Premium Latin Music;42;-1;64;357360
153;spotify:track:4dyzxv5SsdBtunuU3qj7Ti;Fresto Music;Me Hace Daño Verte;Codiscos;30;126;173;356499
154;spotify:track:0vWI49zSbewZN6VAn1JwQm;Rodolfo Aicardi, Los Hispanos;Fiesta en Mi Pueblo;Discos Fuentes;154;-1;2;356448
155;spotify:track:5mp6OBKCAjN4UYRvhOuUze;Oscar Maydon, Fuerza Regida;Tu Boda;Rancho Humilde/Sony Music Latin;11;132;57;355422
156;spotify:track:2hi1aFllOFRNH8gIHxQvD9;Cosculluela, Nicky Jam;Te Busco;Rottweilas, Inc.;49;-1;83;352237
157;spotify:track:1BvoLDKmotg5dqfVW8y8KR;Luigi 21 Plus;Daga Adicta;Bokisucio Music;72;122;131;350600
158;spotify:track:5BrVJGkFTBPAMRl5hIE9A7;Farruko;Cositas Que Haciamos;Farruko;107;-1;19;349362
159;spotify:track:1iEwyiSLAunPR6uouANE0O;Maluma;El Perdedor;Sony Music Latin;75;-1;46;349347
